,H_goal_diff,A_goal_diff,H_win,A_win,H_win_against,A_win_against
100,-2.0,11.0,3.0,6.0,0.0,0.0
101,10.0,-11.0,7.0,3.0,0.0,0.0
102,-10.0,-5.0,1.0,4.0,0.0,0.0
103,-2.0,-7.0,4.0,2.0,0.0,0.0
104,3.0,-4.0,5.0,1.0,0.0,0.0
105,-4.0,7.0,3.0,5.0,0.0,0.0
106,-4.0,5.0,1.0,5.0,0.0,0.0
107,4.0,-5.0,5.0,3.0,0.0,0.0
108,-13.0,-6.0,3.0,2.0,0.0,0.0
109,7.0,-10.0,5.0,5.0,0.0,0.0
110,4.0,3.0,6.0,5.0,0.0,0.0
111,-7.0,19.0,2.0,7.0,0.0,0.0
112,20.0,12.0,9.0,8.0,0.0,0.0
113,-16.0,-2.0,2.0,4.0,0.0,0.0
114,-3.0,-3.0,2.0,3.0,0.0,0.0
115,-9.0,0.0,4.0,4.0,0.0,0.0
116,9.0,-4.0,6.0,3.0,0.0,0.0
117,-4.0,0.0,3.0,4.0,0.0,0.0
118,-10.0,8.0,5.0,6.0,0.0,0.0
119,21.0,-10.0,10.0,2.0,0.0,0.0
120,-15.0,-4.0,3.0,2.0,0.0,0.0
121,9.0,7.0,6.0,5.0,0.0,0.0
122,11.0,-2.0,8.0,4.0,0.0,0.0
123,1.0,22.0,5.0,8.0,0.0,0.0
124,-9.0,-11.0,3.0,4.0,0.0,0.0
125,-3.0,-8.0,4.0,2.0,0.0,0.0
126,6.0,-9.0,7.0,4.0,0.0,0.0
127,-1.0,-9.0,4.0,5.0,0.0,0.0
128,-15.0,-5.0,3.0,4.0,0.0,0.0
129,8.0,14.0,6.0,8.0,0.0,0.0
130,-12.0,-2.0,5.0,5.0,0.0,0.0
131,2.0,-11.0,5.0,3.0,0.0,0.0
132,7.0,-14.0,5.0,4.0,0.0,0.0
133,-9.0,14.0,2.0,9.0,0.0,0.0
134,-4.0,-10.0,2.0,5.0,0.0,0.0
135,-17.0,2.0,4.0,6.0,0.0,0.0
136,21.0,25.0,8.0,11.0,0.0,0.0
137,-6.0,9.0,4.0,6.0,0.0,0.0
138,-14.0,-3.0,2.0,4.0,0.0,0.0
139,18.0,-2.0,8.0,5.0,0.0,0.0
140,8.0,-14.0,6.0,4.0,0.0,0.0
141,-12.0,11.0,5.0,7.0,0.0,0.0
142,7.0,28.0,5.0,12.0,0.0,0.0
143,-12.0,-12.0,2.0,5.0,0.0,0.0
144,-2.0,17.0,3.0,10.0,0.0,0.0
145,-16.0,-2.0,5.0,5.0,0.0,0.0
146,-15.0,-11.0,2.0,3.0,0.0,0.0
147,-8.0,14.0,4.0,8.0,0.0,0.0
148,2.0,1.0,5.0,6.0,0.0,0.0
149,-1.0,-6.0,6.0,3.0,0.0,0.0
150,-12.0,8.0,3.0,6.0,0.0,0.0
